Which of the following describe your relationship to RA? (check all that apply),Which of the following best describes your approach to RetroAchievements?,Describe briefly what makes an RA set well-designed,"What one set on RA best illustrates what you would consider ""perfect"" set design?",Explain what makes the linked RA set a good example of perfect set design.,How do you feel about the following types of achievements? [Standard Progression & Milestones],"How do you feel about the following types of achievements? [Completion (100%, collectables, all stages/missions)]","How do you feel about the following types of achievements? [Grinding / Hyper-Completion (reach level 99, collect every drop, reach 1000 kills with every weapon, etc)]",How do you feel about the following types of achievements? [Damageless Boss Challenges],How do you feel about the following types of achievements? [Deathless Boss Challenges],"How do you feel about the following types of achievements? [Other Boss Challenges (weapon restrictions, party restrictions, etc)]","How do you feel about the following types of achievements? [Level Challenges (no powerups, don't press left, no jumping, etc)]","How do you feel about the following types of achievements? [Easter Eggs (highlighting one-off points of interest in a game, intended by the game developers)]","How do you feel about the following types of achievements? [Developer-Created Challenges (highlighting one-off points of interest in a game, NOT intended by the game developers)]",How do you feel about the following types of achievements? [Score Challenges],How do you feel about the following types of achievements? [Speedrun Challenges],"Are there any other types of achievement types that you enjoy that were not mentioned in the previous question? If so, please describe them here.",How do you prefer progression milestones to be broken down?,What additional content do you expect out of an RA set beyond simple game completion?,How willing are you to play a game multiple times for the purpose of mastering a set?,Which of the following applies to your experiences playing RA sets? [I have skipped achievements for being too difficult],Which of the following applies to your experiences playing RA sets? [I have skipped achievements for being a type of achievement I don't like],Which of the following applies to your experiences playing RA sets? [I have not played *an entire set* because it contained a small number of achievements I didn't want to complete],"Which of the following applies to your experiences playing RA sets? [I feel the need to master every set that I play, even if I don't care for some of the achievements]",Which of the following applies to your experiences playing RA sets? [I mostly play games of a specific series or genre]
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set",,https://retroachievements.org/game/20548,,Love,Love,Neutral,Hate/Avoid,Hate/Avoid,Neutral,Hate/Avoid,Neutral,Neutral,Like,Hate/Avoid,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",4,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral
"I am a player, I am a Developer (or Jr Dev, or former Dev)","I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Fun unique Challenges all the way through that can sometimes make you play in ways you would never think of disregarding Damageless Boss Challenges, Those ones can really suck or bring somebody's blood to a boil to be honest depending on the Game you are playing",https://retroachievements.org/game/9983 (Disregarding the Awful Mini-Game Achievements that should honestly be in a Sub-Set),"I would consider Mario 64's DS's Challenges for the entire Main Game as great design for a lot of its Achievements, Its fun all the way though but once again 

The Awful Mini-Game Achievements on the other hand tho? No, I firmly believe that those should be in a Sub-Set, Only completed the Mini-Game Ones to Master the Game and I didn't really feel any sense of accomplishment getting those ones done unlike all the Main Game Achievements",Like,Love,Dislike,Hate/Avoid,Like,Like,Like,Love,Like,Like,Like,Not that I can think of no,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",5,Neutral,Agree,Neutral,Agree,Strongly Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","For main sets, it should include everything the game has to offer I.e. collectathons, secrets etc. I have no problem at all with challenge runs but I believe they should be included in subsets only.
I do however, greatly appreciate retroachievements regardless of whether or not I can master a set due to a specific achievement or two, and admire the developers for spending time for my enjoyment.",https://retroachievements.org/game/771,"I think that the set for superstar saga includes everything the game has to offer, and despite some of the challenge achievements being a bit difficult, they are built into the game itself as opposed to any added difficulty made by the RA developer",Love,Love,Like,Like,Like,Like,Like,Love,Love,Like,Neutral,I think all have been included above,I don't have an opinion on the number of progression achievements.,"100%, as defined by the game",3,Agree,Disagree,Agree,Strongly Agree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",Eu sempre espero que as conquistas sejam justas no set principal de conquistas e colocar sempre as absurdamente difíceis nos set bônus de conquistas! porque não faz sentido você criar um set de conquista principal com algumas impossíveis!,https://retroachievements.org/game/2681,O set de conquistas do Battle Zeque Den foi bem projetado pra dificuldade e diversão do jogo e as conquistas foram bem descritas e detalhadas!,Like,Love,Dislike,Like,Like,Hate/Avoid,Hate/Avoid,Love,Hate/Avoid,Dislike,Hate/Avoid,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game",1,Strongly Agree,Disagree,Strongly Disagree,Disagree,Neutral
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","It makes you experience the whole game, fully and in a entertaining way. Challenges are not what i look for, but i am willing to at least try, as long as it doesnt require speedrun precission.",https://retroachievements.org/game/668,Makes you experience everything the game has to offer. Including the hardest challenges ,Like,Like,Neutral,Neutral,Like,Like,Neutral,Like,Neutral,Neutral,Neutral,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game",2,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",It encourages you to experience everything a game has to offer and has difficult but fair challenges,https://retroachievements.org/game/9190,It has difficult but reasonable challenges and encourages you to explore every nook and cranny of the game,Like,Love,Dislike,Like,Like,Neutral,Neutral,Love,Like,Like,Like,,I don't have an opinion on the number of progression achievements.,"100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",4,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",A guide to seeing and doing everything the game has to offer without having speedrunning skills,https://retroachievements.org/game/13943,"all the game content is seen by doing the set, plus the challenges, even though they are difficult, do not stray from the context of the game's original difficulty.",Love,Love,Like,Neutral,Hate/Avoid,Dislike,Like,Love,Hate/Avoid,Like,Hate/Avoid,"beat the game in one session, some long games are fun when you just try to finish them in one playthrough, without using saves, without a time limit, a some sort of any%, but without the pressure of playing quickly and well I think it encourages learning speedrunning routes, but without the grind and frustration","I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game",5,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Use all or almost everything in the game, without long grinding or almost impossibles achieviments.",https://retroachievements.org/game/20590,Range all game features and have fun challenges.,Love,Like,Dislike,Neutral,Like,Like,Dislike,Love,Love,Neutral,Dislike,No,"I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",3,Disagree,Neutral,Agree,Neutral,Strongly Agree
I am a player,"I don't pay much attention to RA, but I will occasionally look at the RA set to see if there are any challenges that I want to try","It`s not very, very hard. When it`s fair, it`s okay.",https://retroachievements.org/game/3608,"You can see basically everything in the game, and what you can miss isn't really that difficult, it just requires knowledge of the game world.",Love,Love,Like,Neutral,Neutral,Neutral,Dislike,Love,Like,Love,Neutral,NO,I like stages to be grouped to reduce the number of overall achievements,"full-game challenges, as defined by the dev",3,Strongly Agree,Agree,Neutral,Strongly Disagree,Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","Takes you through the game, and gives the player an opportunity to discover something new,  try something that is often overlooked or challenges the player in unique ways.",https://retroachievements.org/game/706,"The set has achievements that goes through the game normally and achievements that require a little bit of skill and gives the player a different kind challenge than normal gameplay, then there are achievements for secrets and cool little Easter eggs, ",Love,Like,Dislike,Neutral,Neutral,Neutral,Dislike,Like,Neutral,Neutral,Hate/Avoid,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",4,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Hidden level and codes in the game, full exploration, defeating boss fights with minimal damage",https://retroachievements.org/game/7115,"Every single character used, everything unlocked, things i never would know playing normally",Love,Love,Dislike,Like,Love,Like,Like,Love,Neutral,Like,Love,"Cheat Codes, just to try them out",I like stages to be grouped to reduce the number of overall achievements,"further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), full-game challenges, as defined by the dev",4,Strongly Agree,Agree,Strongly Agree,Disagree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Covers the entire breadth of the game (100% completion)

Minimal grinding

Highlights easter eggs

User-created challenges that encourage the player to try things that they may not otherwise do can be fun, within reason. Very difficult challenges, time-consuming ones, and those which require having to look at a set’s page to plan earning it in advance (ex. Fighting a missable boss without using certain move) should be relegated to a subset, unless the game has a unique interaction for completing said challenge.",https://retroachievements.org/game/741,"Covers 100% completion
No missables
Adds new challenge with goals for the Time Attack mode",Love,Love,Hate/Avoid,Dislike,Dislike,Like,Like,Love,Like,Like,Like,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",3,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",Encourages players to try new playstyles or explore easily overlooked content without feeling arbitrary.,https://retroachievements.org/game/3783,"Encourages players to try harder difficulties, find out of the way items and to become proficient at the game, but saves the overly difficult Rainbow Vs for the subset.",Like,Like,Dislike,Like,Like,Like,Neutral,Love,Neutral,Like,Like,,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",3,Agree,Agree,Disagree,Neutral,Neutral
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",A split between user and game-defined challenges that bases its skill ceiling on the game's.  Ideally it should also highlight content that might be missed in a casual playthrough.,https://retroachievements.org/game/3110,"RGC2 is a somewhat enormous game, and it is accounted for within its entirety by the set.  In theory, nobody who has mastered this set (and the related subset) could ever be shown or told something regarding this game that would make them say ""Oh, I didn't know that.""  It exhaustively introduces everything it possibly can to the player.",Neutral,Like,Love,Like,Neutral,Like,Like,Like,Love,Dislike,Hate/Avoid,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",2,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",No achievements that overly grindy for no reason. For example level all characters to 99 in jrpgs. Sets should aim to include 100% of the game.,https://retroachievements.org/game/319,Encompasses the entire game and makes it fun for multiple playthroughs. Not overly grindy.,Love,Love,Dislike,Hate/Avoid,Dislike,Dislike,Neutral,Love,Like,Dislike,Hate/Avoid,NA,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, full-game challenges, as defined by the dev",2,Strongly Agree,Neutral,Strongly Disagree,Neutral,Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","When it acts as a ""best-of"" to showcase everything and/or the best moments the game has to offer, and NOT too many missable achievements.  This would ideally be a 100% run + some fun challenges + handful of secrets players may not know about.  Nothing too tedious/repetitive that a player *wouldn't* do if they were playing without an achievement list/for their own enjoyment outside of RA.",Ocarina of Time - https://retroachievements.org/game/10113,"A 100% run will get most of the achievements, but even some veteran players may not know about, or may not have tried everything here, like catching the hyrule loach (not required for 100%) or trying to get under 1:30 for the running man race (no in-game reason to do the race at all). The standard boss challenges were all very fun and none took too much time to reset when failed.  The 3-heart boss challenges, while a little bit outside what I like doing (not as big a fan of having to do multiple runs), work well here because 3-heart runs in general are well-known in the Zelda community, and that is a great way of showing it off, giving slightly more to do than JUST ""beat the game again"", and also giving a worthwhile amount of points for the effort.

Overall, a great RA set should enhance the game, by adding *more* to the experience than choosing to play without achievements.",Love,Love,Dislike,Neutral,Neutral,Love,Like,Love,Love,Neutral,Dislike,,"I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",2,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Able to be completed in 2-3 playthroughs MAXIMUM, depending on the game in question. 
Does not require obscene RNG, absolute perfection, or playing the game in esoteric ways that might necessitate multiple playthroughs. 

Personal preference, but I do not like damageless/deathless achievements as I feel they just pad the set out with needless challenge, especially when savestating is not allowed for hardcore mode-- meaning attempts take much longer to start as a result.

Acts similar to if it were an official achievement set made by the developers, maybe with a few achievements the developers would not do, but nothing too difficult outside of that metric.

Also Rhythm games should never have full combo achievements as part of their main set (see: every Taiko no Tatsujin set, both Britney's Dance Beat sets)",https://retroachievements.org/game/3353,"Requires 100% completion of the game, as well as some additional challenges that aren't too difficult/don't necessitate entirely separate playthroughs. I would link the Sonic Adventure 1 set for the same reason.",Love,Like,Dislike,Hate/Avoid,Hate/Avoid,Dislike,Dislike,Love,Like,Neutral,Dislike,"If the game has memes associated with it, then (within reason) achievements highlighting them can be fun",I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game",2,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","the absence of hitless, speedrun, glitched, deathless achievements. these should be only in bonus sets.",https://retroachievements.org/game/264,"story progression, easter eggs, mild boss challenges, multiple endings that are easy to obtain and dont require much preparation or backtracking.",Love,Love,Like,Hate/Avoid,Hate/Avoid,Like,Neutral,Love,Hate/Avoid,Hate/Avoid,Hate/Avoid,"no, but some of the worst sets are castlevania games having to be under levelled, under geared, speedrun, etc. terrible sets that i avoid because of the presence of said achievements.","I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",2,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set",A base of progression achievements that outline the path to beating the game followed by achievements that lead the player to 100% completion and a few challenges that test the player's abilities without being unreasonable or overly grindy.,https://retroachievements.org/game/16760,"Progression is laid out using the correct conditions, it tells the player what is required of each achievement in clear language, it gives information without spoiling, and the challenges do require skill outside the scope of what is expected for mastery of the base game.",Love,Love,Dislike,Neutral,Neutral,Like,Like,Love,Neutral,Neutral,Like,No.,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",3,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","A good set is one that has the player explore everything a game has to offer, without going overboard with unnecessary challenges  ",https://retroachievements.org/game/723,Pokemon Yellow's set makes sure to have you do everything that the game has to offer/expects of the player without an overabundance of challenge runs ,Love,Love,Hate/Avoid,Hate/Avoid,Hate/Avoid,Dislike,Dislike,Love,Neutral,Dislike,Dislike,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game",3,Agree,Agree,Strongly Agree,Strongly Agree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",,https://retroachievements.org/game/10003,"It's a thorough tour of what the game has to offer while not straying too far away from its identity. That is to say, there's no particularly difficult ""what on earth was that??"" challenges that come out of nowhere and break the flow of usual gameplay.",Love,Love,Neutral,Neutral,Like,Neutral,Like,Love,Like,Like,Dislike,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game",4,Disagree,Disagree,Neutral,Agree,Neutral
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Focused around progressing through the game, with a few minor challenges along the way, difficult challenges should be left to subsets.",https://retroachievements.org/game/788,"Progression focused, no “difficult” challenges and overall not too hard, provides an achievement for every important part of the game you would play in a normal full playthrough.",Love,Like,Neutral,Hate/Avoid,Neutral,Dislike,Hate/Avoid,Neutral,Neutral,Neutral,Dislike,,I don't have an opinion on the number of progression achievements.,,3,Agree,Agree,Agree,Neutral,Neutral
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","Easter Eggs, Challenges, not only a simple 100% run",https://retroachievements.org/game/11458,The extra challenge!,Like,Like,Dislike,Like,Like,Like,Love,Love,Like,Dislike,Neutral,,I don't have an opinion on the number of progression achievements.,"per-boss and/or per-stage challenges, as defined by the dev",2,Disagree,Disagree,Agree,Agree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","A decent number of points and achievements for simply beating the game (I have seen several examples of games that are hard to beat, yet don't reward many points for barebones any%), and as few missable achievemtns as possible; though this doesn't always make sense when it comes to boss challenges",https://retroachievements.org/game/17500,"Set focuses on 100% which is a huge challenge in itself; and all missable achievemtns fall into the category of challenge runs; you don't miss them during a playthrough, rather you do a seperate playthrough for these in most cases. All other bonuses and challenges are non-missable

I loved this set because it got me motivated to do 100% which was always too intimidating, but RA spurred me to try it and I got the full enjoyment from it due to the set",Like,Love,Neutral,Like,Love,Like,Love,Love,Love,Like,Love,Whole-game completion speedruns (Such as the NES Metroid achievements),"I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",3,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","There really isn't a one size fitd all answer as different games call for different cheevos and also different difficulties. Generally speaking, in addition to the usual progression cheevos, a balance of ""100%"" cheevos and ""challenge"" cheevos, with that balance changing based on the game genre and also just specific game, comprise a good set for me. 100% cheevos shouldn't be tedious regardless if it would be part of 100% traditionally. Challenge cheevos should be achievable by anyone that ""gets good"" at the game, not requiring even seasoned players 100s of attempts. Again, different games will need different cheevos. If the game is simply just hard by design then the challenge cheevos are going to cater to that audience's ""good"" players which would be way too difficult for a different game, for example. Some games also just make no sense to include challenge cheebos, etc. Anway, avoiding bloat is also important. 100 cheevos per set should be the max.",https://retroachievements.org/game/1324,"It strikes the balance I mentioned earlier. None of the 100% cheevos are tedious in my opinion, though some may argue playing for multiple endings is tedious. What I really want to avoid though are things like ""purchase all shop items"" are usually very mind numbing and just pad out the game at worst or pointless at best. The challenge achievements are also good. They push you to get better at the game, but you won't have to be extremely skilled to pull off any of them. The bow on top is the set size being about 50 which is perfect.",Love,Love,Hate/Avoid,Neutral,Neutral,Neutral,Like,Love,Like,Neutral,Neutral,,I like stages to be grouped to reduce the number of overall achievements,,3,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","All 3 of: 
1. completeness to a “100%” definition
2. achievements showcasing interesting optional parts of the games
3. custom challenge achievements invented or otherwise implemented by the set developer",https://retroachievements.org/game/10154,Encapsulates the 3 properties I mentioned earlier,Love,Love,Like,Love,Love,Love,Love,Love,Love,Love,Like,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",5,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",,https://retroachievements.org/game/6049,,Neutral,Like,Hate/Avoid,Hate/Avoid,Dislike,Neutral,Neutral,Like,Like,Like,Like,,I like stages to be grouped to reduce the number of overall achievements,"100%, as defined by the game",3,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","They're easy to digest for their achievement order, also most of the achievements just ""complete the base game"" and then you can look up to extra challenges that not only are just that, but actual game content that as casual player in a certain game you couldn't have experienced/found just because you were not that interested/did not had the time to find out about all the game mechanics and stuff",https://retroachievements.org/game/3154?&s=6,"outside form the progression cheevos, some of the optional and specially the missable achievements are a good example how these type of sets makes you enjoy the game at its ""fullest"" even for a veteran player for this game like me, who beated and 100%ed this game a lot of times and i still got new challenges/ways to play this game with a pleasant experience with this set",Like,Love,Neutral,Like,Neutral,Neutral,Like,Love,Neutral,Neutral,Neutral,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",4,Neutral,Neutral,Strongly Disagree,Agree,Strongly Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Avoid achievements with:
1. speedrun (e.g. do it mission 10 under 3 min, CROC set has a lot of those)
2. no-hit run/boss (castlevania games have a lot of those)
3. perfect runs (such as no-hit, all coins, all points, under X time)",https://retroachievements.org/game/788,"100% completion without time restrictions, room for error (allow to take hits), few missables cheevos and mainly you can basically do the whole set without looking a guide.",Love,Love,Dislike,Hate/Avoid,Hate/Avoid,Neutral,Neutral,Like,Neutral,Like,Hate/Avoid,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game",1,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",,https://retroachievements.org/game/2305,"Thorough exploration of all the game content , encourages  learning the game in and out , doesn´t have non intended manipulations, glitches or speedrun strats, challenges are though but rewarding and take into account the balance of the game, so the dev knew when to give some leeway to the player avoiding making them too frustrating or unfun (for example , the level 4 boss is the hardest in the game ,so the dev lets you take one power up and lose half of your health, making what would be some time consuming and frustrating achievements into a more manageable experience).Another set i would like to point out as ""perfect"" is the Super Metroid set, while it doesn´t have a lot of challenges they are very good: the limited energy tanks one is  great alternative to ""no damage"" challenges to learn boss patterns and strats ,and the speedruns only require knowledge of the intended movement mechanics of the game, without any speedrun tech or skips.       ",Like,Love,Neutral,Like,Love,Neutral,Dislike,Love,Like,Neutral,Dislike,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",5,Agree,Agree,Disagree,Strongly Disagree,Neutral
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Hits multiple/all notes of the game's progression, collectibles, and secrets. Does not focus on a plethora of challenges that are not deemed necessary for the game's full experience  ",https://retroachievements.org/game/7693,"Mario Kart: Double Dash's set is a good example of set design due to it hitting all marks of game completion, offering unique challenges, and not asking too much of the player. The set includes trophies for each CC, then fleshes those out by challenging the player to complete the cups as specific pairs. This creates a unique challenge some players may not do on regular sessions, but are still easily approachable. The set also encourages the player to find secrets and shortcuts, bolstering the experience. Finally, the most difficult achievements are easily the staff time trial ghosts. The difficulty is appreciated and at a respectable level- unlike asking the player to accomplish feats requiring them to use speed running glitches. ",Love,Love,Like,Dislike,Dislike,Neutral,Dislike,Love,Hate/Avoid,Neutral,Neutral,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game",2,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set",,https://retroachievements.org/game/2831,,Neutral,Like,Hate/Avoid,Dislike,Like,Like,Neutral,Love,Love,Hate/Avoid,Neutral,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",5,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Well designed set examples are: Metroid Fusion (GBA) [Japan Subset], Aero the Acrobat (SNES), Akumajou Densetsu (NES), TLOZ: Twilight Princess (GC)",https://retroachievements.org/game/10111,This set is perfect because when you finally finish the set you feel like there's nothing left to do. You've done everything the game has to offer.,Love,Love,Dislike,Love,Love,Love,Neutral,Love,Neutral,Love,Neutral,No,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",4,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",Comprehensive but not exaggerated,https://retroachievements.org/game/2114,Hard but not impossible,Love,Dislike,Dislike,Dislike,Like,Neutral,Dislike,Love,Neutral,Neutral,Neutral,,"I like one achievement per stage, even when there might be a lot of stages","further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",3,Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set",Balance of challenge with some progressions and collectables. ,https://retroachievements.org/game/11353,"Progression, Challenges, collectables and misc. But it depends on the genre of the game, the challenges is thing i aways watch ppl complaining. I dont",Love,Love,Like,Like,Neutral,Like,Neutral,Love,Love,Neutral,Hate/Avoid,"single-multiplayer achievements. This is when u can get achievement even if u play with somebody or alone. EX: Monster Hunter, Contra.",I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",2,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","A creative variety of achievements. Sets that don't require more than one or two playthoughs, unless the game is really short. Some extra challenges that aren't already included in the game.",https://retroachievements.org/game/3152,It has standard progression achievements and also an interesting extra challenge for each mission.,Love,Love,Dislike,Love,Love,Like,Love,Love,Love,Love,Like,,"I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",3,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",Sets that have story progression and small side challenges during natural gameplay.  I like subsets for specific challenges in games.,https://retroachievements.org/game/24186,,Love,Like,Love,Dislike,Neutral,Neutral,Like,Love,Neutral,Like,Like,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), full-game challenges, as defined by the dev",4,Strongly Agree,Neutral,Disagree,Neutral,Agree
